ASSERTION	AAMDAAMFAAAAAAAAAFlA
ASSERTION	AAMEAAEEAAAAAAAAwFdABgAAAAAAAECfQA==
ASSERTION	AAMEAAECBgAAAAAAAHCHQA==
RUN	uk.gov.dhsc.htbhf.ClaimSimulation	claimsimulation	1569814050109	Web-UI performance tests	3.0.3
USER	Scottish Scenario	1	START	1569814050904	1569814050904
USER	Full scenarios	12	START	1569814050951	1569814050951
REQUEST	12		scotland-no	1569814050955	1569814051008	OK	 
REQUEST	1		scotland-yes	1569814050955	1569814051006	OK	 
REQUEST	12		send_do_you_live_in_scotland_no	1569814051068	1569814051087	OK	 
USER	Full scenarios	13	START	1569814051104	1569814051104
REQUEST	12		send_do_you_live_in_scotland_no Redirect 1	1569814051096	1569814051116	OK	 
USER	Scottish Scenario	2	START	1569814051134	1569814051134
REQUEST	13		scotland-no	1569814051105	1569814051134	OK	 
REQUEST	13		send_do_you_live_in_scotland_no	1569814051139	1569814051167	OK	 
REQUEST	2		scotland-yes	1569814051136	1569814051179	OK	 
REQUEST	13		send_do_you_live_in_scotland_no Redirect 1	1569814051169	1569814051184	OK	 
USER	Full scenarios	14	START	1569814051304	1569814051304
REQUEST	14		scotland-no	1569814051306	1569814051334	OK	 
USER	Scottish Scenario	3	START	1569814051334	1569814051334
REQUEST	14		send_do_you_live_in_scotland_no	1569814051336	1569814051354	OK	 
REQUEST	3		scotland-yes	1569814051336	1569814051362	OK	 
REQUEST	14		send_do_you_live_in_scotland_no Redirect 1	1569814051355	1569814051375	OK	 
USER	Full scenarios	15	START	1569814051504	1569814051504
USER	Scottish Scenario	4	START	1569814051534	1569814051534
REQUEST	15		scotland-no	1569814051506	1569814051535	OK	 
REQUEST	15		send_do_you_live_in_scotland_no	1569814051537	1569814051552	OK	 
REQUEST	4		scotland-yes	1569814051535	1569814051562	OK	 
REQUEST	15		send_do_you_live_in_scotland_no Redirect 1	1569814051553	1569814051570	OK	 
USER	Full scenarios	16	START	1569814051704	1569814051704
REQUEST	16		scotland-no	1569814051706	1569814051725	OK	 
USER	Scottish Scenario	5	START	1569814051735	1569814051735
REQUEST	16		send_do_you_live_in_scotland_no	1569814051727	1569814051740	OK	 
REQUEST	5		scotland-yes	1569814051736	1569814051758	OK	 
REQUEST	16		send_do_you_live_in_scotland_no Redirect 1	1569814051741	1569814051760	OK	 
USER	Full scenarios	17	START	1569814051904	1569814051904
REQUEST	17		scotland-no	1569814051905	1569814051926	OK	 
USER	Scottish Scenario	6	START	1569814051945	1569814051945
REQUEST	17		send_do_you_live_in_scotland_no	1569814051928	1569814051944	OK	 
REQUEST	17		send_do_you_live_in_scotland_no Redirect 1	1569814051946	1569814051961	OK	 
REQUEST	6		scotland-yes	1569814051946	1569814051973	OK	 
USER	Full scenarios	18	START	1569814052104	1569814052104
REQUEST	18		scotland-no	1569814052105	1569814052125	OK	 
REQUEST	18		send_do_you_live_in_scotland_no	1569814052127	1569814052142	OK	 
USER	Scottish Scenario	7	START	1569814052144	1569814052144
REQUEST	18		send_do_you_live_in_scotland_no Redirect 1	1569814052144	1569814052162	OK	 
REQUEST	7		scotland-yes	1569814052145	1569814052168	OK	 
REQUEST	13		send_dob	1569814052214	1569814052231	OK	 
REQUEST	13		send_dob Redirect 1	1569814052233	1569814052253	OK	 
USER	Full scenarios	19	START	1569814052304	1569814052304
REQUEST	19		scotland-no	1569814052305	1569814052329	OK	 
USER	Scottish Scenario	8	START	1569814052344	1569814052344
REQUEST	19		send_do_you_live_in_scotland_no	1569814052331	1569814052349	OK	 
REQUEST	19		send_do_you_live_in_scotland_no Redirect 1	1569814052350	1569814052371	OK	 
REQUEST	8		scotland-yes	1569814052345	1569814052375	OK	 
REQUEST	1		send_do_you_live_in_scotland_yes	1569814052375	1569814052389	OK	 
REQUEST	1		send_do_you_live_in_scotland_yes Redirect 1	1569814052390	1569814052409	OK	 
REQUEST	12		send_dob	1569814052415	1569814052431	OK	 
REQUEST	12		send_dob Redirect 1	1569814052432	1569814052450	OK	 
USER	Full scenarios	20	START	1569814052504	1569814052504
REQUEST	20		scotland-no	1569814052506	1569814052532	OK	 
USER	Scottish Scenario	9	START	1569814052545	1569814052545
REQUEST	20		send_do_you_live_in_scotland_no	1569814052535	1569814052551	OK	 
REQUEST	20		send_do_you_live_in_scotland_no Redirect 1	1569814052553	1569814052571	OK	 
REQUEST	9		scotland-yes	1569814052546	1569814052576	OK	 
REQUEST	14		send_dob	1569814052595	1569814052619	OK	 
REQUEST	14		send_dob Redirect 1	1569814052620	1569814052639	OK	 
USER	Full scenarios	21	START	1569814052704	1569814052704
REQUEST	3		send_do_you_live_in_scotland_yes	1569814052705	1569814052723	OK	 
REQUEST	21		scotland-no	1569814052705	1569814052735	OK	 
REQUEST	3		send_do_you_live_in_scotland_yes Redirect 1	1569814052724	1569814052739	OK	 
USER	Scottish Scenario	10	START	1569814052744	1569814052744
REQUEST	21		send_do_you_live_in_scotland_no	1569814052737	1569814052750	OK	 
REQUEST	10		scotland-yes	1569814052745	1569814052768	OK	 
REQUEST	21		send_do_you_live_in_scotland_no Redirect 1	1569814052751	1569814052768	OK	 
REQUEST	16		send_dob	1569814052785	1569814052799	OK	 
REQUEST	16		send_dob Redirect 1	1569814052801	1569814052815	OK	 
USER	Full scenarios	22	START	1569814052904	1569814052904
REQUEST	22		scotland-no	1569814052906	1569814052934	OK	 
USER	Scottish Scenario	11	START	1569814052944	1569814052944
REQUEST	22		send_do_you_live_in_scotland_no	1569814052937	1569814052949	OK	 
REQUEST	11		scotland-yes	1569814052945	1569814052968	OK	 
REQUEST	22		send_do_you_live_in_scotland_no Redirect 1	1569814052950	1569814052976	OK	 
REQUEST	15		send_dob	1569814052954	1569814052989	OK	 
REQUEST	15		send_dob Redirect 1	1569814052990	1569814053009	OK	 
REQUEST	2		send_do_you_live_in_scotland_yes	1569814053045	1569814053065	OK	 
REQUEST	2		send_do_you_live_in_scotland_yes Redirect 1	1569814053067	1569814053080	OK	 
REQUEST	5		send_do_you_live_in_scotland_yes	1569814053055	1569814053083	OK	 
REQUEST	5		send_do_you_live_in_scotland_yes Redirect 1	1569814053087	1569814053105	OK	 
USER	Full scenarios	28	START	1569814053105	1569814053105
USER	Scottish Scenario	23	START	1569814053105	1569814053105
REQUEST	23		scotland-yes	1569814053110	1569814053147	OK	 
REQUEST	28		scotland-no	1569814053110	1569814053162	OK	 
REQUEST	28		send_do_you_live_in_scotland_no	1569814053165	1569814053179	OK	 
REQUEST	28		send_do_you_live_in_scotland_no Redirect 1	1569814053180	1569814053195	OK	 
REQUEST	6		send_do_you_live_in_scotland_yes	1569814053247	1569814053271	OK	 
REQUEST	6		send_do_you_live_in_scotland_yes Redirect 1	1569814053272	1569814053287	OK	 
USER	Full scenarios	29	START	1569814053306	1569814053306
USER	Scottish Scenario	24	START	1569814053305	1569814053305
REQUEST	24		scotland-yes	1569814053307	1569814053339	OK	 
REQUEST	29		scotland-no	1569814053307	1569814053362	OK	 
REQUEST	29		send_do_you_live_in_scotland_no	1569814053364	1569814053387	OK	 
REQUEST	29		send_do_you_live_in_scotland_no Redirect 1	1569814053388	1569814053416	OK	 
USER	Full scenarios	30	START	1569814053504	1569814053504
USER	Scottish Scenario	25	START	1569814053504	1569814053504
REQUEST	30		scotland-no	1569814053505	1569814053526	OK	 
REQUEST	4		send_do_you_live_in_scotland_yes	1569814053505	1569814053526	OK	 
REQUEST	25		scotland-yes	1569814053505	1569814053531	OK	 
REQUEST	4		send_do_you_live_in_scotland_yes Redirect 1	1569814053528	1569814053542	OK	 
REQUEST	30		send_do_you_live_in_scotland_no	1569814053530	1569814053542	OK	 
REQUEST	30		send_do_you_live_in_scotland_no Redirect 1	1569814053543	1569814053567	OK	 
REQUEST	8		send_do_you_live_in_scotland_yes	1569814053604	1569814053627	OK	 
REQUEST	20		send_dob	1569814053625	1569814053643	OK	 
